Processing 2x2 minors...
Matrix size: 9x9
Total minors: 1296
Rows: 1 7 | Cols: 1 8 | Det: 4332
Rows: 1 7 | Cols: 2 3 | Det: 440
Rows: 1 7 | Cols: 2 4 | Det: 900
Rows: 1 7 | Cols: 2 5 | Det: 720
Rows: 1 7 | Cols: 2 6 | Det: 460
Rows: 1 7 | Cols: 2 7 | Det: 120
Rows: 1 7 | Cols: 2 8 | Det: 1140
Rows: 1 7 | Cols: 3 4 | Det: 2916
Rows: 1 7 | Cols: 3 5 | Det: 1070
Rows: 1 7 | Cols: 3 6 | Det: 1662
Rows: 1 7 | Cols: 3 7 | Det: -38
Rows: 1 7 | Cols: 3 8 | Det: 4424
Rows: 1 7 | Cols: 4 5 | Det: -2583
Rows: 1 7 | Cols: 4 6 | Det: 351
Rows: 1 7 | Cols: 4 7 | Det: -873
Rows: 1 7 | Cols: 4 8 | Det: 1494
Rows: 1 7 | Cols: 5 6 | Det: 1601
Rows: 1 7 | Cols: 5 7 | Det: -354
Rows: 1 7 | Cols: 5 8 | Det: 4467
Rows: 1 7 | Cols: 6 7 | Det: -493
Rows: 1 7 | Cols: 6 8 | Det: 319
Rows: 1 7 | Cols: 7 8 | Det: 1305
Rows: 1 8 | Cols: 0 1 | Det: 2723
Rows: 1 8 | Cols: 0 2 | Det: 531
Rows: 1 8 | Cols: 0 3 | Det: -92
Rows: 1 8 | Cols: 0 4 | Det: 2052
Rows: 1 8 | Cols: 0 5 | Det: 1532
Rows: 1 8 | Cols: 0 6 | Det: 1746
Rows: 1 8 | Cols: 0 7 | Det: -58
Rows: 1 8 | Cols: 0 8 | Det: 2914
Rows: 1 8 | Cols: 1 2 | Det: -328
Rows: 1 8 | Cols: 1 3 | Det: -5102
Rows: 1 8 | Cols: 1 4 | Det: 1917
